file_name,purpose,owner,edit_policy
members.csv,Member identity and current balance cache,admin,admin only
point_ledger.csv,Append-only point change records including topups bets refunds payouts and corrections,admin/smileai,append only
matches.csv,World Cup 2026 match list and admin-entered results,admin,admin only
win_draw_loss_bets.csv,20 point tickets for home draw away market,smileai,append only before lock
score_bets.csv,10 point tickets for exact score market,smileai,append only before lock
match_settlements.csv,One row per market settlement per match,admin/smileai,append only
final_jackpot.csv,Exact-score carryover pool for final match,admin/smileai,append only
admin_actions.csv,Admin audit trail for privileged actions,admin/smileai,append only
teams.csv,World Cup 2026 team metadata including qualification status and API mapping,admin/smileai,admin refresh only
smileai_commands.csv,Allowed natural-language command intents and required validations,admin/smileai,admin refresh only
test_cases.csv,Functional and edge test cases for betting workflows,admin/smileai,admin refresh only
