scenario_id,scenario_name,steps,expected_result
SIM-001,Member tự đặt cược thắng,"Nam mention @SmileAI: đặt Brazil thắng trận WC2026-0001; SmileAI resolve subject=M0001; stake 20 point",Tạo 1 WDL bet HOME và ledger -20; balance Nam từ 200 còn 180
SIM-002,Member tự đặt tỷ số,"Linh mention @SmileAI: đặt tỷ số 2-1 trận WC2026-0001; SmileAI resolve subject=M0002; stake 10 point",Tạo 1 score bet 2-1 và ledger -10; balance Linh từ 200 còn 190
SIM-003,Không đủ point,"An còn 5 point; An đặt Brazil thắng trận WC2026-0001",Từ chối; không tạo bet; không tạo ledger; balance giữ nguyên 5
SIM-004,Cược sau giờ khóa,"Nam đặt Brazil thắng sau kickoff",Từ chối; không tạo bet; không tạo ledger
SIM-005,Non-admin nạp điểm,"Nam gửi @SmileAI nạp 50 point cho Nam",Từ chối; chỉ admin được tạo positive point change
SIM-006,Admin nạp điểm,"Admin gửi @SmileAI nạp 50 point cho Nam lý do thưởng",Ledger TOPUP +50; balance Nam tăng 50; có admin_actions
SIM-007,HOME thắng theo ví dụ,"10 vé HOME; 5 vé AWAY; kết quả HOME",HOME mỗi vé nhận payout 30 point gồm stake 20 + lãi 10; AWAY mất stake
SIM-008,AWAY thắng theo ví dụ,"10 vé HOME; 5 vé AWAY; kết quả AWAY",AWAY mỗi vé nhận payout 60 point gồm stake 20 + lãi 40; HOME mất stake
SIM-009,Hòa không ai chọn DRAW,"10 vé HOME; 5 vé AWAY; kết quả DRAW; không có vé DRAW",Fallback: tổng pool 300 chia 150/150; HOME mỗi vé nhận 15; AWAY mỗi vé nhận 30
SIM-010,Hòa có người chọn DRAW,"10 vé HOME; 2 vé DRAW; 5 vé AWAY; kết quả DRAW",DRAW thắng; 2 vé DRAW chia toàn bộ pool 340; mỗi vé nhận 170
SIM-011,Tỷ số có người trúng,"5 vé chọn 2-1; 20 vé chọn tỷ số khác; kết quả 2-1",Pool 250; mỗi vé đúng nhận 50
SIM-012,Tỷ số không ai trúng,"25 vé score; không vé nào đúng",Pool score chuyển vào final_jackpot; không payout member
SIM-013,Chung kết dùng jackpot,"Jackpot 250; final có 5 vé đúng; score stake final 100",Pool chung kết 350; 5 vé đúng mỗi vé nhận 70; jackpot về 0
SIM-014,Settle lặp lại,"Admin settle WC2026-0001 lần 2",Từ chối; không payout trùng; settlement id cũ được trả về
SIM-015,Lệnh không nêu chủ thể,"Nam gửi @SmileAI xem điểm",Subject mặc định là Nam vì actor=Nam
SIM-016,Lệnh nêu người khác,"Nam gửi @SmileAI xem điểm của Linh",Subject=Linh; nếu policy cho xem thì trả balance Linh; action thay đổi point cho Linh cần admin
